Issue,Severity,Areas,Filename,Assembly,Descriptor,Ignored
"'Vector2Int' array allocation","Info","Memory","TerritoryBorderRenderer.cs:20","Assembly-CSharp","Array Allocation","False"
"'UnityEngine.Renderer.material' usage","Major","GPU","Tile.cs:29","Assembly-CSharp","UnityEngine.Renderer.material","False"
"'System.Boolean[0...,0...]' allocation","Info","Memory","VisibilityState.cs:10","Assembly-CSharp","Object Allocation","False"
"'UnityEngine.Object.Instantiate<UnityEngine.GameObject>' usage","Moderate","CPU, Memory","WorldPopulationManager.cs:47","Assembly-CSharp","UnityEngine.Object.Instantiate","False"
"Conversion from value type 'Int32' to ref type","Moderate","Memory","WorldPopulationManager.cs:50","Assembly-CSharp","Boxing Allocation","False"
"'System.String.Concat' usage","Info","Memory","WorldPopulationManager.cs:81","Assembly-CSharp","System.String.Concat","False"
"'UnityEngine.Object.Instantiate<UnityEngine.GameObject>' usage","Moderate","CPU, Memory","WorldPopulationManager.cs:87","Assembly-CSharp","UnityEngine.Object.Instantiate","False"
"'System.Collections.Generic.List`1<City>' allocation","Info","Memory","WorldPopulationManager.cs:109","Assembly-CSharp","Object Allocation","False"
"'System.Collections.Generic.List`1<Tile>' allocation","Info","Memory","WorldPopulationManager.cs:180","Assembly-CSharp","Object Allocation","False"
"'System.Collections.Generic.List`1<City>' allocation","Info","Memory","WorldPopulationManager.cs:20","Assembly-CSharp","Object Allocation","False"
"'System.Func`2<Skill,System.Boolean>' allocation","Moderate","Memory","Unit.cs:54","Assembly-CSharp","Object Allocation","False"
"'System.Linq.Enumerable.Any' usage","Major","CPU, Memory","Unit.cs:54","Assembly-CSharp","System.Linq.*","False"
"'UnityEngine.Renderer.material' usage","Moderate","GPU","Unit.cs:138","Assembly-CSharp","UnityEngine.Renderer.material","False"
"'UnityEngine.Renderer.material' usage","Moderate","GPU","Unit.cs:140","Assembly-CSharp","UnityEngine.Renderer.material","False"
"'UnityEngine.Renderer.material' usage","Major","GPU","Unit.cs:146","Assembly-CSharp","UnityEngine.Renderer.material","False"
"'UnityEngine.Renderer.material' usage","Major","GPU","Unit.cs:148","Assembly-CSharp","UnityEngine.Renderer.material","False"
"'System.Collections.Generic.List`1<City>' allocation","Info","Memory","Player.cs:15","Assembly-CSharp","Object Allocation","False"
"'System.Collections.Generic.List`1<Unit>' allocation","Info","Memory","Player.cs:16","Assembly-CSharp","Object Allocation","False"
"'PlayerTechState' allocation","Info","Memory","Player.cs:17","Assembly-CSharp","Object Allocation","False"
"Closure allocation in 'SelectionController.ShowSpawnOptions'","Moderate","Memory","SelectionController.cs:0","Assembly-CSharp","Closure Allocation","False"
"'System.Func`2<FactionUnit,System.Boolean>' allocation","Moderate","Memory","SelectionController.cs:92","Assembly-CSharp","Object Allocation","False"
"'System.Linq.Enumerable.Where' usage","Major","CPU, Memory","SelectionController.cs:92","Assembly-CSharp","System.Linq.*","False"
"'System.Linq.Enumerable.ToArray' usage","Major","CPU, Memory","SelectionController.cs:92","Assembly-CSharp","System.Linq.*","False"
"Closure allocation in 'SelectionController.SelectTerritory'","Moderate","Memory","SelectionController.cs:0","Assembly-CSharp","Closure Allocation","False"
"'System.Func`2<BuildingData,System.Boolean>' allocation","Moderate","Memory","SelectionController.cs:103","Assembly-CSharp","Object Allocation","False"
"'System.Linq.Enumerable.Where' usage","Major","CPU, Memory","SelectionController.cs:103","Assembly-CSharp","System.Linq.*","False"
"'System.Linq.Enumerable.ToArray' usage","Major","CPU, Memory","SelectionController.cs:103","Assembly-CSharp","System.Linq.*","False"
"Closure allocation in 'SelectionController.DeactivateUsedUnits'","Moderate","Memory","SelectionController.cs:0","Assembly-CSharp","Closure Allocation","False"
"'System.Linq.Enumerable.ToList' usage","Major","CPU, Memory","SelectionController.cs:223","Assembly-CSharp","System.Linq.*","False"
"'System.Func`2<Player,System.Boolean>' allocation","Moderate","Memory","SelectionController.cs:226","Assembly-CSharp","Object Allocation","False"
"'System.Linq.Enumerable.Any' usage","Major","CPU, Memory","SelectionController.cs:226","Assembly-CSharp","System.Linq.*","False"
"'System.Collections.Generic.List`1<Tile>' allocation","Info","Memory","SelectionController.cs:11","Assembly-CSharp","Object Allocation","False"
"'System.Predicate`1<Player>' allocation","Info","Memory","TurnManager.cs:29","Assembly-CSharp","Object Allocation","False"
"'UnityEngine.Object.name' usage","Moderate","Memory","TurnManager.cs:32","Assembly-CSharp","UnityEngine.Object.name","False"
"'System.String.Concat' usage","Info","Memory","TurnManager.cs:32","Assembly-CSharp","System.String.Concat","False"
"Use of Debug.Log in 'EndTurn'","Info","CPU","TurnManager.cs:32","Assembly-CSharp","Debug.Log / Debug.LogFormat","False"
"'System.Collections.Generic.List`1<Player>' allocation","Info","Memory","TurnManager.cs:10","Assembly-CSharp","Object Allocation","False"
"'System.String.Concat' usage","Info","Memory","BuildingInfoPopup.cs:14","Assembly-CSharp","System.String.Concat","False"
"Conversion from value type 'Int32' to ref type","Moderate","Memory","CityStarsUI.cs:9","Assembly-CSharp","Boxing Allocation","False"
"'System.String.Concat' usage","Moderate","Memory","ItemPurchaseButton.cs:19","Assembly-CSharp","System.String.Concat","False"
"Conversion from value type 'Int32' to ref type","Moderate","Memory","PopulationUI.cs:9","Assembly-CSharp","Boxing Allocation","False"
"Conversion from value type 'Int32' to ref type","Moderate","Memory","PopulationUI.cs:9","Assembly-CSharp","Boxing Allocation","False"
"'System.Predicate`1<Player>' allocation","Info","Memory","UIManager.cs:48","Assembly-CSharp","Object Allocation","False"
